_time,EC,Humidity_percent,PH,Temperature_C,WaterTemp_C
2023-10-26 16:10:06.530000+00:00,0.44,60.3,7.29,24.1,20.69
2023-10-26 16:15:13.950000+00:00,0.44,60.3,7.27,24.1,20.69
2023-10-26 16:20:21.781000+00:00,0.44,61.2,7.28,24.1,20.69
2023-10-26 16:25:28.879000+00:00,0.41,60.7,7.28,24.1,20.69
2023-10-26 16:30:41.332000+00:00,0.41,60.7,7.28,24.1,20.75
2023-10-26 16:35:48.922000+00:00,0.44,60.6,7.27,24.1,20.69
2023-10-26 16:40:57.194000+00:00,0.44,60.9,7.28,24.1,20.69
2023-10-26 16:46:06.512000+00:00,0.44,60.5,7.28,24.1,20.69
2023-10-26 16:51:14.191000+00:00,0.44,60,7.27,24.1,20.69
2023-10-26 16:56:21.949000+00:00,0.41,61,7.37,24.1,20.87
2023-10-26 17:01:30.149000+00:00,0.41,60.5,7.38,24.1,20.94
2023-10-26 17:06:37.292000+00:00,0.41,60.8,7.38,24.1,20.94
2023-10-26 17:11:44.967000+00:00,0.41,60.7,7.38,24.1,21
2023-10-26 17:16:52.378000+00:00,0.41,61,7.37,24.1,20.94
2023-10-26 17:22:00.806000+00:00,0.41,60.9,7.39,24.1,20.94
2023-10-26 17:27:13.022000+00:00,0.41,60.9,7.39,24.2,20.94
2023-10-26 17:32:21.198000+00:00,0.41,60.9,7.37,24.2,20.94
2023-10-26 17:37:28.574000+00:00,0.41,60.7,7.37,24.2,21
2023-10-26 17:42:36.862000+00:00,0.41,60.6,7.38,24.2,20.94
2023-10-26 17:47:47.752000+00:00,0.41,60.3,7.37,24.2,20.94
2023-10-26 17:52:55.435000+00:00,0.41,60,7.37,24.3,21
2023-10-26 17:58:02.859000+00:00,0.41,60,7.37,24.2,20.87
2023-10-26 18:03:12.279000+00:00,0.44,60.1,7.37,24.3,20.94
2023-10-26 18:08:20.880000+00:00,0.41,60.3,7.36,24.3,21
2023-10-26 18:13:28.846000+00:00,0.41,60.2,7.37,24.3,20.94
2023-10-26 18:18:36.269000+00:00,0.41,60.2,7.36,24.3,20.94
2023-10-26 18:23:48.882000+00:00,0.41,60.1,7.35,24.3,20.94
2023-10-26 18:28:56.945000+00:00,0.41,60.2,7.35,24.3,20.87
2023-10-26 18:34:04.309000+00:00,0.41,59.6,7.35,24.3,21.06
